theme,changeRate
전선,17.03
전력설비,11.4
광통신(광케이블/광섬유 등),10.53
해저터널(지하화/지하도로 등),8.75
증권,6.87
반도체 대표주(생산),6.66
스마트그리드(지능형전력망),5.76
통신장비,5.54
HBM(고대역폭메모리),5.42
CXL(컴퓨트익스프레스링크),5.29
귀금속(금/은),5.0
5G(5세대 이동통신),4.84
뉴로모픽 반도체,4.81
전력반도체,4.74
온디바이스 AI,4.63
MLCC(적층세라믹콘덴서),4.39
마이크로 LED,4.28
시스템반도체,4.26
전기차(충전소/충전기),4.18
IT 대표주,3.64
양자암호/양자컴퓨팅,3.61
2차전지(전고체),3.48
반도체 장비,3.47
핵융합에너지,3.47
피지컬 AI/휴머노이드 로봇,3.47
철도,3.4
냉각시스템(액침냉각 등),3.4
스페이스X(SpaceX),3.39
자동차 대표주,3.34
2차전지(LFP/리튬인산철),3.34
STO(토큰증권 발행),3.33
소캠(SOCAMM),3.31
무선충전기술,3.3
우주항공산업(누리호/인공위성 등),3.24
퓨리오사AI,2.94
PCB(FPCB 등),2.91
그래핀,2.87
원자력발전,2.86
면세점,2.79
아이폰,2.77
스마트홈(홈네트워크),2.75
반도체 재료/부품,2.72
전자파,2.67
LED,2.65
리튬,2.65
초전도체,2.56
재난/안전(지진/화재 등),2.53
고체산화물 연료전지(SOFC),2.5
건설기계,2.47
폴더블폰,2.45
자율주행차,2.35
2차전지,2.29
스테이블코인,2.24
2차전지(소재/부품),2.23
日 수출 규제(국산화 등),2.22
NI(네트워크통합),2.16
스마트폰,2.14
야놀자(Yanolja),2.13
탄소나노튜브(CNT),2.11
플렉서블 디스플레이,2.09
생명보험,2.08
바이오인식(생체인식),2.04
스마트팩토리(스마트공장),2.03
핀테크(FinTech),1.94
로봇(산업용/협동로봇 등),1.94
코리아 밸류업 지수(Korea Value-up Index),1.94
OLED(유기 발광 다이오드),1.92
모더나(MODERNA),1.92
2차전지(장비),1.9
방위산업/전쟁 및 테러,1.88
비철금속,1.84
사료,1.83
전력저장장치(ESS),1.82
화이자(PFIZER),1.82
니켈,1.82
호텔/리조트,1.8
창투사,1.76
블록체인,1.73
갤럭시 부품주,1.69
유리 기판,1.66
온실가스(탄소배출권)/탄소 포집·활용·저장(CCUS),1.59
밸류업(24년 기업가치 제고계획 발표),1.58
드론(Drone),1.55
스마트카(SMART CAR),1.44
마켓컬리(kurly),1.39
피팅(관이음쇠)/밸브,1.39
백화점,1.37
희귀금속(희토류 등),1.35
손해보험,1.34
페라이트,1.27
두나무(Dunamu),1.25
전기차,1.24
수소에너지(수소차/연료전지 등),1.24
2차전지(나트륨이온),1.23
2차전지(생산),1.2
