code,name,theme
005930,삼성전자,반도체 / AI
000660,SK하이닉스,반도체 / AI
042700,한미반도체,반도체 / AI
058470,리노공업,반도체 / AI
240810,원익IPS,반도체 / AI
095340,ISC,반도체 / AI
047040,대우건설,건설 / 해외수주
000720,현대건설,건설 / 해외수주
006360,GS건설,건설 / 해외수주
375500,DL이앤씨,건설 / 해외수주
294870,HDC현대산업개발,건설 / 해외수주
028050,삼성E&A,건설 / 해외수주
009830,한화솔루션,태양광 / 신재생
010060,OCI홀딩스,태양광 / 신재생
322000,HD현대에너지솔루션,태양광 / 신재생
100090,SK이터닉스,태양광 / 신재생
078600,대주전자재료,2차전지 / 소재
373220,LG에너지솔루션,2차전지 / 소재
006400,삼성SDI,2차전지 / 소재
247540,에코프로비엠,2차전지 / 소재
003670,포스코퓨처엠,2차전지 / 소재
066970,엘앤에프,2차전지 / 소재
000250,삼천당제약,바이오 / 제약
220100,퓨쳐켐,바이오 / 제약
068270,셀트리온,바이오 / 제약
207940,삼성바이오로직스,바이오 / 제약
196170,알테오젠,바이오 / 제약
141080,리가켐바이오,바이오 / 제약
005380,현대차,자동차 / 부품
000270,기아,자동차 / 부품
012330,현대모비스,자동차 / 부품
204320,HL만도,자동차 / 부품
035420,NAVER,인터넷 / 플랫폼
035720,카카오,인터넷 / 플랫폼
259960,크래프톤,게임 / 엔터
036570,엔씨소프트,게임 / 엔터
086790,하나금융지주,은행 / 금융
055550,신한지주,은행 / 금융
105560,KB금융,은행 / 금융
316140,우리금융지주,은행 / 금융
