themeKeyword,coreKeywords,excludeKeywords,bonusCodes,excludeCodes
2025 하반기 신규상장,2025|하반기|신규상장|삼미금속|삼익제약|세나테크놀로지|한라캐스트|티엠씨|싸이닉솔루션|이지스|명인제약|그래피|아우토크립트|오아|뉴로핏|씨엠티엑스|애드포러스|더핑크퐁컴퍼니|대한조선|지투지바이오|알트|뉴키즈온|뉴엔AI,삼성물산|삼성전자|SK하이닉스|현대차|기아|현대모비스|NAVER|카카오|포스코홀딩스|LG화학|LG|SK|CJ|롯데지주|한화|두산,,
2026 상반기 신규상장,2026|상반기|신규상장|케이뱅크|리센스메디컬|한패스|에스팀|아이엠바이오로직스|지에프아이,삼성물산|삼성전자|SK하이닉스|현대차|기아|현대모비스|NAVER|카카오|포스코홀딩스|LG화학|LG|SK|CJ|롯데지주|한화|두산,,
2차전지,2차전지|배터리|에너지솔루션|SDI|에코프로|퓨처엠|엘앤에프|엔켐|천보|전자재료|소재|KG케미칼|DI동일|알루코|TCC스틸|포스코퓨처엠|세방전지|조광페인트|코스모신소재|코스모화학|POSCO홀딩스|삼아알미늄|삼성SDI|대한유화|율촌화학|고려아연|한농화성|SKC|한솔케미칼|동원시스템즈|성우하이텍,삼성물산|삼성전자|SK하이닉스|현대차|기아|현대모비스|NAVER|카카오|LG|SK|CJ|롯데지주|한화|두산,,
2차전지(LFP/리튬인산철),2차전지|LFP|리튬인산철|배터리|에너지솔루션|SDI|에코프로|퓨처엠|엘앤에프|엔켐|천보|전자재료|소재|브이티|소프트센|파워넷|EG|팬스타엔터프라이즈|SK이노베이션|아모그린텍|씨아이에스|코윈테크|탑머티리얼|LG에너지솔루션,삼성물산|삼성전자|SK하이닉스|현대차|기아|현대모비스|NAVER|카카오|LG|SK|CJ|롯데지주|한화|두산,,
2차전지(나트륨이온),2차전지|나트륨이온|배터리|에너지솔루션|SDI|에코프로|퓨처엠|엘앤에프|엔켐|천보|전자재료|소재|삼성SDI|디아이씨|애경케미칼|에코프로비엠|나인테크|LG에너지솔루션|더블유씨피|메가터치,삼성물산|삼성전자|SK하이닉스|현대차|기아|현대모비스|NAVER|카카오|LG|SK|CJ|롯데지주|한화|두산,,
2차전지(생산),2차전지|생산|배터리|에너지솔루션|SDI|에코프로|퓨처엠|엘앤에프|엔켐|천보|전자재료|소재|삼성SDI|SK이노베이션|LG에너지솔루션,삼성물산|삼성전자|SK하이닉스|현대차|기아|현대모비스|NAVER|카카오|LG|SK|CJ|롯데지주|한화|두산,,
2차전지(소재/부품),2차전지|소재|부품|배터리|에너지솔루션|SDI|에코프로|퓨처엠|엘앤에프|엔켐|천보|전자재료|KG케미칼|DI동일|알루코|TCC스틸|포스코퓨처엠|조광페인트|코스모신소재|코스모화학|POSCO홀딩스|삼아알미늄|대한유화|율촌화학|고려아연|한농화성|SKC|한솔케미칼|동원시스템즈|성우하이텍|조일알미늄|롯데에너지머티리얼즈,삼성물산|삼성전자|SK하이닉스|현대차|기아|현대모비스|NAVER|카카오|LG|SK|CJ|롯데지주|한화|두산,,
2차전지(장비),2차전지|장비|배터리|에너지솔루션|SDI|에코프로|퓨처엠|엘앤에프|엔켐|천보|전자재료|소재|우신시스템|소프트센|에스에프에이|탑엔지니어링|웰크론한텍|HB테크놀러지|APS이노베이션|쎄크|아바코|코세스|톱텍|디에스케이|디아이티|강원에너지|대성하이텍|파인텍|피엔티|에이치와이티씨|필옵틱스|펨트론,삼성물산|삼성전자|SK하이닉스|현대차|기아|현대모비스|NAVER|카카오|LG|SK|CJ|롯데지주|한화|두산,,
2차전지(전고체),2차전지|전고체|배터리|에너지솔루션|SDI|에코프로|퓨처엠|엘앤에프|엔켐|천보|전자재료|소재|삼성SDI|삼성전기|한농화성|롯데에너지머티리얼즈|동화기업|미래컴퍼니|테이팩스|미코|대주전자재료|아바코|SK이노베이션|이브이첨단소재|씨아이에스|엠플러스|나인테크|티에스아이|레이크머티리얼즈|코윈테크|레몬,삼성물산|삼성전자|SK하이닉스|현대차|기아|현대모비스|NAVER|카카오|LG|SK|CJ|롯데지주|한화|두산,,
3D 프린터,3D|프린터|모아텍|에스티아이|TPC로보틱스|로보스타|휴림로봇|스맥|코렌텍|하이비젼시스템|티앤알바이오팹|로킷헬스케어|링크솔루션,삼성물산|삼성전자|SK하이닉스|현대차|기아|현대모비스|NAVER|카카오|포스코홀딩스|LG화학|LG|SK|CJ|롯데지주|한화|두산,,
